"","name","homicide_rate","gdp","urban_population_growth","pop_growth","internet_users","gdp_per_capita","refugees"
"156","Tuvalu",18.6,46,2.6,0.9,49.3,4000.6,NA
"157","Uganda",10.5,30098,6,3.6,23.7,704.4,2445.8
"158","Ukraine",6.2,130832,-0.4,-0.5,62.6,2956.9,1540.4
"159","United Arab Emirates",0.5,414179,2.4,1.3,98.4,43005,8.7
"160","United Kingdom",1.2,2855297,1,0.6,94.9,42526.4,176.7
"161","United States",5,20580223,0.9,0.6,87.3,62917.9,1043.2
"162","Uruguay",12.1,59597,0.5,0.4,74.8,17278.1,21.5
"163","Uzbekistan",1.1,50500,1.5,1.6,55.2,1555,95.9
"164","Holy See (Vatican City State)",0,NA,0.2,0.1,NA,NA,NA
"165","Venezuela, Bolivarian Republic Of",36.7,208338,1.4,-1.1,72,7212.2,452.6
"166","Viet Nam",1.5,244901,3.2,1,70.3,2563.2,34.1
"167","Yemen",6.8,26672,4.4,2.4,26.7,935.9,3922.9
"168","Zambia",5.4,27283,4.3,2.9,14.3,1572.3,81.8
"169","Zimbabwe",7.5,24312,1.8,1.5,27.1,1683.8,20.8
